,yearDraft,numberPickOverall,numberRound,numberRoundPick,namePlayer,slugTeam,nameOrganizationFrom,typeOrganizationFrom,idPlayer,idTeam,nameTeam
1379,1997.0,15.0,1.0,15.0,Kelvin Cato,DAL,Iowa State,College/University,1509.0,1610612742.0,Dallas Mavericks
1380,1997.0,16.0,1.0,16.0,Brevin Knight,CLE,Stanford,College/University,1510.0,1610612739.0,Cleveland Cavaliers
1381,1997.0,17.0,1.0,17.0,Johnny Taylor,ORL,Tennessee-Chattanooga,College/University,1511.0,1610612753.0,Orlando Magic
1382,1997.0,18.0,1.0,18.0,Chris Anstey,POR,South East Melbourne Magic,Other Team/Club,1512.0,1610612757.0,Portland Trail Blazers
1383,1997.0,19.0,1.0,19.0,Scot Pollard,DET,Kansas,College/University,1513.0,1610612765.0,Detroit Pistons
1384,1997.0,20.0,1.0,20.0,Paul Grant,MIN,Wisconsin,College/University,1514.0,1610612750.0,Minnesota Timberwolves
1385,1997.0,21.0,1.0,21.0,Anthony Parker,NJN,Bradley,College/University,1515.0,1610612751.0,New Jersey Nets
1386,1997.0,22.0,1.0,22.0,Ed Gray,ATL,California,College/University,1516.0,1610612737.0,Atlanta Hawks
1387,1997.0,23.0,1.0,23.0,Bobby Jackson,SEA,Minnesota,College/University,1517.0,1610612760.0,Seattle SuperSonics
1388,1997.0,24.0,1.0,24.0,Rodrick Rhodes,HOU,Southern California,College/University,1518.0,1610612745.0,Houston Rockets
1389,1997.0,25.0,1.0,25.0,John Thomas,NYK,Minnesota,College/University,1519.0,1610612752.0,New York Knicks
1390,1997.0,26.0,1.0,26.0,Charles Smith,MIA,New Mexico,College/University,1520.0,1610612748.0,Miami Heat
1391,1997.0,27.0,1.0,27.0,Jacque Vaughn,UTA,Kansas,College/University,1521.0,1610612762.0,Utah Jazz
1392,1997.0,28.0,1.0,28.0,Keith Booth,CHI,Maryland,College/University,1522.0,1610612741.0,Chicago Bulls
1393,1997.0,29.0,2.0,1.0,Serge Zwikker,HOU,North Carolina,College/University,1523.0,1610612745.0,Houston Rockets
1394,1997.0,30.0,2.0,2.0,Mark Sanford,MIA,Washington,College/University,1524.0,1610612748.0,Miami Heat
1395,1997.0,31.0,2.0,3.0,Charles O'Bannon,DET,California-Los Angeles,College/University,1525.0,1610612765.0,Detroit Pistons
1396,1997.0,32.0,2.0,4.0,James Cotton,DEN,Long Beach State,College/University,1526.0,1610612743.0,Denver Nuggets
1397,1997.0,33.0,2.0,5.0,Marko Milic,PHI,KK Olimpija,Other Team/Club,1527.0,1610612755.0,Philadelphia 76ers
1398,1997.0,34.0,2.0,6.0,Bubba Wells,DAL,Austin Peay,College/University,1528.0,1610612742.0,Dallas Mavericks
1399,1997.0,35.0,2.0,7.0,Kebu Stewart,PHI,Cal State-Bakersfield,College/University,1529.0,1610612755.0,Philadelphia 76ers
1400,1997.0,36.0,2.0,8.0,James Collins,PHI,Florida State,College/University,1530.0,1610612755.0,Philadelphia 76ers
1401,1997.0,37.0,2.0,9.0,Marc Jackson,GSW,Temple,College/University,1531.0,1610612744.0,Golden State Warriors
1402,1997.0,38.0,2.0,10.0,Jerald Honeycutt,MIL,Tulane,College/University,1532.0,1610612749.0,Milwaukee Bucks
1403,1997.0,39.0,2.0,11.0,Anthony Johnson,SAC,College of Charleston,College/University,1533.0,1610612758.0,Sacramento Kings
1404,1997.0,40.0,2.0,12.0,Eddie Elisma,SEA,Georgia Tech,College/University,1534.0,1610612760.0,Seattle SuperSonics
1405,1997.0,41.0,2.0,13.0,Jason Lawson,DEN,Villanova,College/University,1535.0,1610612743.0,Denver Nuggets
1406,1997.0,42.0,2.0,14.0,Stephen Jackson,PHX,Butler Community College,College/University,1536.0,1610612756.0,Phoenix Suns
1407,1997.0,43.0,2.0,15.0,Gordon Malone,MIN,West Virginia,College/University,1537.0,1610612750.0,Minnesota Timberwolves
1408,1997.0,44.0,2.0,16.0,Cedric Henderson,CLE,Memphis,College/University,1538.0,1610612739.0,Cleveland Cavaliers
1409,1997.0,45.0,2.0,17.0,God Shammgod,WAS,Providence,College/University,1539.0,1610612764.0,Washington Wizards
1410,1997.0,46.0,2.0,18.0,Eric Washington,ORL,Alabama,College/University,1540.0,1610612753.0,Orlando Magic
1411,1997.0,47.0,2.0,19.0,Alvin Williams,POR,Villanova,College/University,1541.0,1610612757.0,Portland Trail Blazers
1412,1997.0,48.0,2.0,20.0,Predrag Drobnjak,WAS,KK Partizan,Other Team/Club,1542.0,1610612764.0,Washington Wizards
1413,1997.0,49.0,2.0,21.0,Alain Digbeau,ATL,ASVEL Basket,Other Team/Club,1543.0,1610612737.0,Atlanta Hawks
1414,1997.0,50.0,2.0,22.0,Chris Crawford,ATL,Marquette,College/University,1544.0,1610612737.0,Atlanta Hawks
1415,1997.0,51.0,2.0,23.0,DeJuan Wheat,LAL,Louisville,College/University,1545.0,1610612747.0,Los Angeles Lakers
1416,1997.0,52.0,2.0,24.0,C.J. Bruton,VAN,Indian Hills Community College,College/University,1546.0,1610612763.0,Vancouver Grizzlies
1417,1997.0,53.0,2.0,25.0,Paul Rogers,LAL,Gonzaga,College/University,1547.0,1610612747.0,Los Angeles Lakers
1418,1997.0,54.0,2.0,26.0,Mark Blount,SEA,Pittsburgh,College/University,1548.0,1610612760.0,Seattle SuperSonics
1419,1997.0,55.0,2.0,27.0,Ben Pepper,BOS,Newcastle Falcons,Other Team/Club,1549.0,1610612738.0,Boston Celtics
1420,1997.0,56.0,2.0,28.0,Nate Erdmann,UTA,Oklahoma,College/University,1550.0,1610612762.0,Utah Jazz
1421,1997.0,57.0,2.0,29.0,Roberto Duenas,CHI,FC Barcelona Basquet,Other Team/Club,1551.0,1610612741.0,Chicago Bulls
1422,1996.0,1.0,1.0,1.0,Allen Iverson,PHI,Georgetown,College/University,947.0,1610612755.0,Philadelphia 76ers
1423,1996.0,2.0,1.0,2.0,Marcus Camby,TOR,Massachusetts,College/University,948.0,1610612761.0,Toronto Raptors
1424,1996.0,3.0,1.0,3.0,Shareef Abdur-Rahim,VAN,California,College/University,949.0,1610612763.0,Vancouver Grizzlies
1425,1996.0,4.0,1.0,4.0,Stephon Marbury,MIL,Georgia Tech,College/University,950.0,1610612749.0,Milwaukee Bucks
1426,1996.0,5.0,1.0,5.0,Ray Allen,MIN,Connecticut,College/University,951.0,1610612750.0,Minnesota Timberwolves
1427,1996.0,6.0,1.0,6.0,Antoine Walker,BOS,Kentucky,College/University,952.0,1610612738.0,Boston Celtics
1428,1996.0,7.0,1.0,7.0,Lorenzen Wright,LAC,Memphis,College/University,953.0,1610612746.0,Los Angeles Clippers
1429,1996.0,8.0,1.0,8.0,Kerry Kittles,NJN,Villanova,College/University,954.0,1610612751.0,New Jersey Nets
1430,1996.0,9.0,1.0,9.0,Samaki Walker,DAL,Louisville,College/University,955.0,1610612742.0,Dallas Mavericks
1431,1996.0,10.0,1.0,10.0,Erick Dampier,IND,Mississippi State,College/University,956.0,1610612754.0,Indiana Pacers
1432,1996.0,11.0,1.0,11.0,Todd Fuller,GSW,North Carolina State,College/University,957.0,1610612744.0,Golden State Warriors
1433,1996.0,12.0,1.0,12.0,Vitaly Potapenko,CLE,Wright State,College/University,958.0,1610612739.0,Cleveland Cavaliers
1434,1996.0,13.0,1.0,13.0,Kobe Bryant,CHH,Lower Merion,High School,977.0,1610612766.0,Charlotte Hornets
1435,1996.0,14.0,1.0,14.0,Peja Stojakovic,SAC,P.A.O.K. B.C.,Other Team/Club,978.0,1610612758.0,Sacramento Kings
1436,1996.0,15.0,1.0,15.0,Steve Nash,PHX,Santa Clara,College/University,959.0,1610612756.0,Phoenix Suns
1437,1996.0,16.0,1.0,16.0,Tony Delk,CHH,Kentucky,College/University,960.0,1610612766.0,Charlotte Hornets
1438,1996.0,17.0,1.0,17.0,Jermaine O'Neal,POR,Eau Claire,High School,979.0,1610612757.0,Portland Trail Blazers
1439,1996.0,18.0,1.0,18.0,John Wallace,NYK,Syracuse,College/University,961.0,1610612752.0,New York Knicks
1440,1996.0,19.0,1.0,19.0,Walter McCarty,NYK,Kentucky,College/University,962.0,1610612752.0,New York Knicks
1441,1996.0,20.0,1.0,20.0,Zydrunas Ilgauskas,CLE,LSU-Atletas,Other Team/Club,980.0,1610612739.0,Cleveland Cavaliers
1442,1996.0,21.0,1.0,21.0,Dontae' Jones,NYK,Mississippi State,College/University,963.0,1610612752.0,New York Knicks
1443,1996.0,22.0,1.0,22.0,Roy Rogers,VAN,Alabama,College/University,964.0,1610612763.0,Vancouver Grizzlies
1444,1996.0,23.0,1.0,23.0,Efthimios Rentzias,DEN,P.A.O.K. B.C.,Other Team/Club,981.0,1610612743.0,Denver Nuggets
1445,1996.0,24.0,1.0,24.0,Derek Fisher,LAL,Arkansas-Little Rock,College/University,965.0,1610612747.0,Los Angeles Lakers
1446,1996.0,25.0,1.0,25.0,Martin Muursepp,UTA,BC Kalev/Cramo,Other Team/Club,982.0,1610612762.0,Utah Jazz
1447,1996.0,26.0,1.0,26.0,Jerome Williams,DET,Georgetown,College/University,966.0,1610612765.0,Detroit Pistons
1448,1996.0,27.0,1.0,27.0,Brian Evans,ORL,Indiana,College/University,967.0,1610612753.0,Orlando Magic
1449,1996.0,28.0,1.0,28.0,Priest Lauderdale,ATL,Peristeri B.C.,Other Team/Club,968.0,1610612737.0,Atlanta Hawks
1450,1996.0,29.0,1.0,29.0,Travis Knight,CHI,Connecticut,College/University,969.0,1610612741.0,Chicago Bulls
1451,1996.0,30.0,2.0,1.0,Othella Harrington,HOU,Georgetown,College/University,970.0,1610612745.0,Houston Rockets
1452,1996.0,31.0,2.0,2.0,Mark Hendrickson,PHI,Washington State,College/University,971.0,1610612755.0,Philadelphia 76ers
1453,1996.0,32.0,2.0,3.0,Ryan Minor,PHI,Oklahoma,College/University,972.0,1610612755.0,Philadelphia 76ers
1454,1996.0,33.0,2.0,4.0,Moochie Norris,MIL,West Florida,College/University,983.0,1610612749.0,Milwaukee Bucks
1455,1996.0,34.0,2.0,5.0,Shawn Harvey,DAL,West Virginia State,College/University,973.0,1610612742.0,Dallas Mavericks
1456,1996.0,35.0,2.0,6.0,Joseph Blair,SEA,Arizona,College/University,974.0,1610612760.0,Seattle SuperSonics
1457,1996.0,36.0,2.0,7.0,Doron Sheffer,LAC,Connecticut,College/University,975.0,1610612746.0,Los Angeles Clippers
1458,1996.0,37.0,2.0,8.0,Jeff McInnis,DEN,North Carolina,College/University,976.0,1610612743.0,Denver Nuggets
1459,1996.0,38.0,2.0,9.0,Steve Hamer,BOS,Tennessee,College/University,984.0,1610612738.0,Boston Celtics
1460,1996.0,39.0,2.0,10.0,Russ Millard,PHX,Iowa,College/University,985.0,1610612756.0,Phoenix Suns
1461,1996.0,40.0,2.0,11.0,Marcus Mann,GSW,Mississippi Valley State,College/University,986.0,1610612744.0,Golden State Warriors
1462,1996.0,41.0,2.0,12.0,Jason Sasser,SAC,Texas Tech,College/University,987.0,1610612758.0,Sacramento Kings
1463,1996.0,42.0,2.0,13.0,Randy Livingston,HOU,Louisiana State,College/University,988.0,1610612745.0,Houston Rockets
1464,1996.0,43.0,2.0,14.0,Ben Davis,PHX,Arizona,College/University,989.0,1610612756.0,Phoenix Suns
1465,1996.0,44.0,2.0,15.0,Malik Rose,CHH,Drexel,College/University,990.0,1610612766.0,Charlotte Hornets
1466,1996.0,45.0,2.0,16.0,Joe Vogel,SEA,Colorado State,College/University,991.0,1610612760.0,Seattle SuperSonics
1467,1996.0,46.0,2.0,17.0,Marcus Brown,POR,Murray State,College/University,992.0,1610612757.0,Portland Trail Blazers
1468,1996.0,47.0,2.0,18.0,Ron Riley,SEA,Arizona State,College/University,993.0,1610612760.0,Seattle SuperSonics
1469,1996.0,48.0,2.0,19.0,Jamie Feick,PHI,Michigan State,College/University,994.0,1610612755.0,Philadelphia 76ers
1470,1996.0,49.0,2.0,20.0,Amal McCaskill,ORL,Marquette,College/University,1043.0,1610612753.0,Orlando Magic
